Date,Open,High,Low,Close,Adj Close,Volume
2021-10-13,10.360000,10.480000,10.230000,10.290000,10.290000,462000
2021-10-14,10.340000,10.490000,10.170000,10.320000,10.320000,642000
2021-10-15,10.440000,10.830000,10.410000,10.740000,10.740000,791900
2021-10-18,10.850000,10.920000,10.530000,10.770000,10.770000,705000
2021-10-19,10.900000,11.020000,10.680000,10.920000,10.920000,460100
2021-10-20,10.840000,11.730000,10.840000,11.710000,11.710000,1277800
2021-10-21,11.570000,11.690000,11.100000,11.400000,11.400000,828600
2021-10-22,11.480000,11.480000,11.140000,11.410000,11.410000,431900
2021-10-25,11.480000,11.910000,11.480000,11.900000,11.900000,1070700
2021-10-26,11.910000,12.150000,11.680000,11.690000,11.690000,804400
2021-10-27,11.600000,11.800000,11.010000,11.010000,11.010000,997700
2021-10-28,11.010000,11.190000,10.800000,11.150000,11.150000,592800
2021-10-29,11.150000,11.150000,10.460000,10.630000,10.630000,1162600
2021-11-01,10.670000,11.140000,10.550000,10.830000,10.830000,631600
2021-11-02,10.730000,11.220000,10.570000,11.140000,11.140000,1288100
2021-11-03,11.090000,11.820000,11.090000,11.750000,11.750000,1043800
2021-11-04,11.680000,11.740000,11.160000,11.340000,11.340000,1120900
2021-11-05,11.430000,11.570000,11.240000,11.410000,11.410000,398197
